Season,Var.1,Var.2,Var.3,Var.4,Var.5,Var.6,Var.7,Var.8,Var.9,Var.10,Var.11,Var.12,Var.13,Var.14,Var.15,Var.16,Var.17,Var.18,Offense.Four.Factors,Offense.Four.Factors.1,Offense.Four.Factors.2,Offense.Four.Factors.3,Var.23,Defense.Four.Factors,Defense.Four.Factors.1,Defense.Four.Factors.2,Defense.Four.Factors.3,Var.28,Var.29,Var.30,Var.31
6,23,New Jersey Nets,27.4,30,52,29,53,-4.23,0.09,-4.14,101.9,106.5,-4.6,90.9,.332,.111,.497,NA,.445,15.1,36.4,.248,NA,.495,14.5,70.9,.223,NA,Brendan Byrne Arena,"638,144","15,564"
6,24,Dallas Mavericks,25.1,26,56,28,54,-4.90,0.19,-4.71,106.1,111.2,-5.1,95.4,.266,.274,.507,NA,.470,13.3,34.1,.192,NA,.526,14.7,68.6,.222,NA,Reunion Arena,"684,138","16,686"
6,25,Minnesota Timberwolves,26.4,26,56,26,56,-5.35,0.22,-5.14,104.1,109.8,-5.7,93.5,.357,.132,.535,NA,.480,16.0,29.8,.277,NA,.509,15.0,68.7,.267,NA,Target Center,"585,669","14,285"
6,26,Milwaukee Bucks,27.5,25,57,26,56,-5.30,0.38,-4.92,105.6,111.5,-5.9,90.2,.295,.163,.534,NA,.495,15.0,29.7,.218,NA,.520,14.1,68.4,.248,NA,Bradley Center,"647,088","15,783"
6,27,Toronto Raptors,26.1,21,61,21,61,-7.51,0.31,-7.20,103.8,111.8,-8.0,93.2,.296,.177,.536,NA,.499,17.2,32.0,.214,NA,.514,14.7,66.8,.272,NA,SkyDome,"950,330","23,483"
6,28,Philadelphia 76ers,26.1,18,64,16,66,-10.00,0.55,-9.45,102.2,113.0,-10.8,92.2,.353,.224,.522,NA,.474,16.0,29.4,.259,NA,.522,14.4,65.0,.217,NA,CoreStates Spectrum,"476,016","11,935"
6,29,Vancouver Grizzlies,27.2,15,67,15,67,-9.98,0.43,-9.55,97.6,108.5,-10.9,91.0,.308,.174,.500,NA,.456,15.5,27.3,.223,NA,.510,16.1,66.3,.241,NA,General Motors Place,"654,013","17,183"
6,,League Average,27.6,,,41,41,0.00,0.00,0.00,107.6,107.6,,91.8,.329,.200,.542,NA,.499,14.7,30.6,.243,NA,.499,14.7,69.4,.243,NA,,"703,139","17,286"
7,Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,NA,eFG%,TOV%,ORB%,FT/FGA,NA,eFG%,TOV%,DRB%,FT/FGA,NA,Arena,Attend.,Attend./G
7,1,Chicago Bulls*,30.7,69,13,68,14,10.80,-0.11,10.70,114.4,102.4,+12.0,90.0,.267,.203,.547,NA,.511,12.5,35.9,.199,NA,.471,14.8,69.3,.196,NA,United Center,"978,457","23,865"
7,2,Utah Jazz*,29.6,64,18,64,18,8.79,-0.82,7.97,113.6,104.0,+9.6,90.0,.389,.145,.581,NA,.530,14.7,29.7,.299,NA,.480,15.5,71.6,.290,NA,Delta Center,"811,439","19,791"
7,3,Seattle SuperSonics*,30.0,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,+8.5,90.3,.358,.247,.557,NA,.510,14.2,30.9,.269,NA,.490,17.7,69.1,.242,NA,KeyArena at Seattle Center,"699,952","17,072"
7,4,Atlanta Hawks*,28.8,56,26,57,25,5.44,0.08,5.52,108.5,102.3,+6.2,86.8,.310,.291,.542,NA,.498,14.6,31.5,.236,NA,.472,15.0,69.2,.191,NA,Omni Coliseum,"549,414","14,288"
